Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Derinlik,xM,MD,ML,Mw,Ms,Mb,Tip,Yer,Kayıp,Hasarlı Bina
20040701223008,2004.07.01,22:30:09,39.63,43.94,10,5.4,5,5.2,5.1,5.1,5.4,Ke,GUNYOLU-DOGUBAYAZIT (AGRI) [North West 4.5 km],17,1000
20040325193046,2004.03.25,19:30:46,39.92,40.82,10,5.5,5.5,5.4,5.6,5.6,0,Ke,KANDILLI-ASKALE (ERZURUM) [North West 2.4 km],9,1280
20010625132848,2001.06.25,13:28:49,37.12,36.28,27,5.5,5.5,0,5.5,5.5,0,Ke,ARSLANLI- (OSMANIYE) [South West 0.9 km],0,66
20001215164444,2000.12.15,16:44:44,38.63,31.19,13,5.8,5.8,0,5.8,5.8,0,Ke,EBER-CAY (AFYONKARAHISAR) [North East 6.4 km],6,547
20000606024149,2000.06.06,2:41:49,40.7,32.99,5,5.6,5.6,0,6.1,6.1,0,Ke,HACILAR-CERKES (�ANKIRI) [South East 1.5 km],1,1766
19980627135551,1998.06.27,13:55:52,36.96,35.52,18,6.3,6.3,0,6.2,6.2,0,Ke,HASANBEYLI-SARICAM (ADANA) [South 10.1 km],146,31463
19980413151430,1998.04.13,15:14:31,39.23,41.07,9,5,5,0,5,5,0,Ke,SERPMEKAYA-KARLIOVA (BINGOL) [South East 3.9 km],0,148
19970122175719,1997.01.22,17:57:20,36.14,36.12,23,5.5,5.5,0,5.4,5.4,0,Ke,YESILPINAR- (HATAY) [North East 0.4 km],1,1841
19960814015502,1996.08.14,1:55:03,40.74,35.29,17,5.6,5.6,0,5.6,5.6,0,Ke,KUCUKCAY-MERZIFON (AMASYA) [North East 1.3 km],1,2606
19951205184932,1995.12.05,18:49:32,39.35,40.22,33,5.7,5.6,0,5.7,5.7,5.4,Ke,SABIRTASI-KIGI (BINGOL) [North East 7.5 km],1,0
19951001155713,1995.10.01,15:57:13,38.11,30.05,5,6,0,0,6,6,0,Ke,BELENPINAR-DINAR (AFYONKARAHISAR) [South 0.6 km],90,14156
19940128154524,1994.01.28,15:45:25,38.69,27.49,5,5.2,0,5.2,5.1,5.1,5.2,Ke,YENIKOY- (MANISA) [North East 0.6 km],0,44
19921106190809,1992.11.06,19:08:09,38.16,26.99,17,6,0,5.7,6,6,5.7,Ke,ORHANLI-SEFERIHISAR (IZMIR) [East 3.5 km],0,55
19920315161625,1992.03.15,16:16:25,39.53,39.93,29,5.8,0,0,5.8,5.8,5.4,Ke,DAGYOLU-PULUMUR (TUNCELI) [South East 2.2 km],0,439
